"Number of Crimes by Hour of Day by Location"
"Current date: 8/28/2022 10:19:50 PM (Eastern Daylight Time)"
"Measures: Number of Crimes"
"Data source: Massachusetts_SS, Offense Data"
"Jurisdiction by Geography: Barnstable County"
"Incident Date: 2021"
"Incident Hour of Day","6:00pm-8:59pm","9:00pm-11:59pm","12:00am-2:59am","3:00am-5:59am","6:00am-8:59am","9:00am-11:59am","12:00n-2:59pm","3:00pm-5:59pm",
"Location Type"
"All Location Types","969","661","430","190","607","1,314","1,421","1,264"
"Residence/Home","456","314","190","94","287","661","703","629"
"Commercial","226","138","96","41","114","243","272","292"
"Air/Bus/Train Terminal","3","","","","","1","3","2"
"Bank/Savings and Loan","4","2","","1","10","12","21","15"
"Bar/Nightclub","2","11","13","1","2","1","4","4"
"Commercial/Office Building","37","8","5","2","27","67","44","49"
"Convenience Store","26","14","5","4","7","15","14","22"
"Department/Discount Store","19","1","2","1","6","8","36","38"
"Drug Store/Doctor’s Office/Hospital","19","9","9","3","13","26","16","19"
"Grocery/Supermarket","24","3","","1","7","26","23","27"
"Hotel/Motel/Etc.","36","30","18","26","13","31","39","21"
"Liquor Store","7","6","","","4","3","9","8"
"Rental Storage Facility","1","","","","","","1","10"
"Restaurant","26","36","34","","8","23","20","26"
"Service/Gas Station","8","8","6","2","10","4","10","18"
"Specialty Store","13","9","4","","7","24","31","29"
"ATM Separate from Bank","","","","","","","",""
"Auto Dealership New/Used","1","","","","","2","1",""
"Gambling Facility/Casino/Race Track","","","","","","","",""
"Shopping Mall","","1","","","","","","4"
"Educational Facility","4","6","","","28","60","62","22"
"School/College(Historical Only)","","","","","","","",""
"Daycare Facility","","","","","","","1",""
"School – College/University","","1","","","1","17","23","2"
"School – Elementary/Secondary","4","5","","","27","43","38","20"
"Government/Public Building and other","36","23","11","3","36","114","97","80"
"Church/Synagogue/Temple/Mosque","8","1","4","","3","9","2","2"
"Government/Public Building","21","18","7","2","25","84","78","62"
"Jail/Prison/Penitentiary/Corrections Facility","1","","","","3","11","7","8"
"Amusement Park","","","","","","","2","1"
"Arena/Stadium/Fairgrounds/Coliseum","3","","","","","1","1","2"
"Military Installation","","","","","","","",""
"Park/Playground","3","2","","1","5","9","6","5"
"Shelter – Mission/Homeless","","","","","","","",""
"Tribal Lands","","","","","","","",""
"Community Center","","2","","","","","1",""
"Road/Parking/Camps","145","107","85","35","69","98","120","125"
"Highway/Road/Alley/Street/Sidewalk","105","91","64","32","45","61","72","78"
"Parking/Drop Lot/Garage","15","7","14","1","16","14","19","28"
"Rest Area","","","","","","","1",""
"Field/Woods/Waterways/Camps","25","9","7","2","8","23","28","19"
"Field/Woods","15","5","2","2","3","13","14","11"
"Lake/Waterway/Beach","7","4","4","","5","4","10","5"
"Camp/Campground","2","","","","","2","3","1"
"Dock/Wharf/Freight/Modal Terminal","1","","1","","","4","1","2"
"Construction/Industrial/Farm","1","","","","6","6","8","1"
"Construction Site","","","","","5","3","4","1"
"Farm Facility","1","","","","","3","1",""
"Industrial Site","","","","","1","","3",""
"Cyberspace","2","3","","","2","8","12","18"
"Abandoned/Condemned Structure","1","","","","","","2","1"
"Other/Unknown","98","70","48","17","65","124","145","96"
"Missing","","","","","","","",""
