"Number of Crimes by Hour of Day by Location"
"Current date: 8/30/2022 7:07:54 PM (Eastern Daylight Time)"
"Measures: Number of Crimes"
"Data source: Massachusetts_SS, Offense Data"
"Jurisdiction by Geography: Berkshire County"
"Incident Date: 2021"
"Incident Hour of Day","6:00pm-8:59pm","9:00pm-11:59pm","12:00am-2:59am","3:00am-5:59am","6:00am-8:59am","9:00am-11:59am","12:00n-2:59pm","3:00pm-5:59pm",
"Location Type"
"All Location Types","595","461","246","172","394","848","890","801"
"Residence/Home","268","213","131","91","181","406","451","372"
"Commercial","139","91","42","31","94","209","208","216"
"Air/Bus/Train Terminal","","","1","","1","1","",""
"Bank/Savings and Loan","2","3","1","","1","13","14","12"
"Bar/Nightclub","3","8","5","","1","1","1","1"
"Commercial/Office Building","7","10","2","2","14","44","32","36"
"Convenience Store","14","12","10","12","10","16","22","11"
"Department/Discount Store","27","15","3","1","23","29","30","45"
"Drug Store/Doctor’s Office/Hospital","8","11","2","10","2","17","16","20"
"Grocery/Supermarket","14","3","2","","3","13","25","25"
"Hotel/Motel/Etc.","18","1","6","1","11","17","16","10"
"Liquor Store","11","1","1","","2","2","4","8"
"Rental Storage Facility","2","1","","","2","3","5",""
"Restaurant","12","5","4","2","6","32","22","15"
"Service/Gas Station","3","4","2","","7","6","3","8"
"Specialty Store","18","15","2","3","11","15","17","21"
"ATM Separate from Bank","","","","","","","",""
"Auto Dealership New/Used","","","1","","","","1",""
"Gambling Facility/Casino/Race Track","","","","","","","",""
"Shopping Mall","","2","","","","","","4"
"Educational Facility","5","12","","1","12","14","23","17"
"School/College(Historical Only)","","","","","","","",""
"Daycare Facility","","","","","2","","","2"
"School – College/University","3","7","","","1","2","4","10"
"School – Elementary/Secondary","2","5","","1","9","12","19","5"
"Government/Public Building and other","31","32","8","3","15","57","59","55"
"Church/Synagogue/Temple/Mosque","","","","1","3","8","3",""
"Government/Public Building","28","28","5","1","10","43","48","48"
"Jail/Prison/Penitentiary/Corrections Facility","","","1","","","","","1"
"Amusement Park","","","","","","","",""
"Arena/Stadium/Fairgrounds/Coliseum","","","","","","","1",""
"Military Installation","","","","","","","",""
"Park/Playground","3","4","2","1","1","4","6","6"
"Shelter – Mission/Homeless","","","","","","","",""
"Tribal Lands","","","","","","","",""
"Community Center","","","","","1","2","1",""
"Road/Parking/Camps","108","90","43","29","42","101","90","91"
"Highway/Road/Alley/Street/Sidewalk","79","80","38","28","28","70","69","80"
"Parking/Drop Lot/Garage","17","10","5","","12","18","14","7"
"Rest Area","1","","","","","","",""
"Field/Woods/Waterways/Camps","11","","","1","2","13","7","4"
"Field/Woods","9","","","","2","12","6",""
"Lake/Waterway/Beach","2","","","","","1","1","4"
"Camp/Campground","","","","1","","","",""
"Dock/Wharf/Freight/Modal Terminal","","","","","","","",""
"Construction/Industrial/Farm","1","","2","","8","3","5","4"
"Construction Site","","","2","","5","2","2","4"
"Farm Facility","","","","","2","","3",""
"Industrial Site","1","","","","1","1","",""
"Cyberspace","6","","","","1","2","6","4"
"Abandoned/Condemned Structure","","","1","","","","2","2"
"Other/Unknown","37","23","19","17","41","56","46","40"
"Missing","","","","","","","",""
