"Number of Crimes by Hour of Day by Location"
"Current date: 8/30/2022 7:08:22 PM (Eastern Daylight Time)"
"Measures: Number of Crimes"
"Data source: Massachusetts_SS, Offense Data"
"Jurisdiction by Geography: Bristol County"
"Incident Date: 2021"
"Incident Hour of Day","6:00pm-8:59pm","9:00pm-11:59pm","12:00am-2:59am","3:00am-5:59am","6:00am-8:59am","9:00am-11:59am","12:00n-2:59pm","3:00pm-5:59pm",
"Location Type"
"All Location Types","3,402","2,334","1,471","811","1,665","3,713","4,273","4,012"
"Residence/Home","1,754","1,189","751","446","813","1,616","1,748","1,862"
"Commercial","566","333","211","116","224","659","883","747"
"Air/Bus/Train Terminal","4","1","1","1","3","8","4","7"
"Bank/Savings and Loan","13","3","2","1","8","44","52","25"
"Bar/Nightclub","8","16","36","2","3","5","3","7"
"Commercial/Office Building","39","21","20","10","61","108","125","77"
"Convenience Store","43","37","18","17","20","40","63","49"
"Department/Discount Store","131","34","9","2","17","104","191","194"
"Drug Store/Doctor’s Office/Hospital","54","39","12","24","18","62","75","65"
"Grocery/Supermarket","66","11","6","5","11","35","75","92"
"Hotel/Motel/Etc.","56","60","29","22","23","58","57","50"
"Liquor Store","11","6","2","","","12","12","12"
"Rental Storage Facility","4","4","1","4","1","14","11","3"
"Restaurant","53","58","26","10","8","48","59","45"
"Service/Gas Station","23","30","21","13","23","41","33","35"
"Specialty Store","44","9","21","4","23","58","87","65"
"ATM Separate from Bank","4","","","","","1","",""
"Auto Dealership New/Used","4","","5","1","5","17","22","10"
"Gambling Facility/Casino/Race Track","","","","","","","",""
"Shopping Mall","9","4","2","","","4","14","11"
"Educational Facility","29","21","32","2","55","186","208","72"
"School/College(Historical Only)","","","","","2","2","",""
"Daycare Facility","1","","1","","1","3","5","2"
"School – College/University","19","18","28","1","7","55","54","23"
"School – Elementary/Secondary","9","3","3","1","45","126","149","47"
"Government/Public Building and other","86","34","26","8","35","151","155","105"
"Church/Synagogue/Temple/Mosque","6","6","2","1","1","11","5","5"
"Government/Public Building","46","16","19","5","22","106","115","73"
"Jail/Prison/Penitentiary/Corrections Facility","","1","1","","","3","1","1"
"Amusement Park","","","","","","","3",""
"Arena/Stadium/Fairgrounds/Coliseum","","","","","","","",""
"Military Installation","","","","","","","",""
"Park/Playground","32","6","3","2","9","27","28","26"
"Shelter – Mission/Homeless","1","1","1","","","3","2",""
"Tribal Lands","","","","","","","",""
"Community Center","1","4","","","3","1","1",""
"Road/Parking/Camps","608","504","296","147","324","552","671","665"
"Highway/Road/Alley/Street/Sidewalk","525","444","263","134","247","428","582","553"
"Parking/Drop Lot/Garage","61","53","29","12","65","98","76","85"
"Rest Area","","","","","","","",""
"Field/Woods/Waterways/Camps","22","7","4","1","12","26","13","27"
"Field/Woods","19","7","4","1","7","20","7","18"
"Lake/Waterway/Beach","2","","","","2","5","1","7"
"Camp/Campground","","","","","","","","1"
"Dock/Wharf/Freight/Modal Terminal","1","","","","3","1","5","1"
"Construction/Industrial/Farm","4","1","","4","17","15","16","8"
"Construction Site","1","1","","4","14","10","4","2"
"Farm Facility","","","","","","1","1","4"
"Industrial Site","3","","","","3","4","11","2"
"Cyberspace","45","14","4","1","13","106","92","108"
"Abandoned/Condemned Structure","","1","","","1","9","1","1"
"Other/Unknown","310","237","151","87","183","419","499","444"
"Missing","","","","","","","",""
