"Number of Crimes by Hour of Day by Location"
"Current date: 8/30/2022 7:08:44 PM (Eastern Daylight Time)"
"Measures: Number of Crimes"
"Data source: Massachusetts_SS, Offense Data"
"Jurisdiction by Geography: Dukes County"
"Incident Date: 2021"
"Incident Hour of Day","6:00pm-8:59pm","9:00pm-11:59pm","12:00am-2:59am","3:00am-5:59am","6:00am-8:59am","9:00am-11:59am","12:00n-2:59pm","3:00pm-5:59pm",
"Location Type"
"All Location Types","66","67","38","8","27","76","93","104"
"Residence/Home","31","31","20","5","14","41","35","39"
"Commercial","10","15","5","1","3","13","25","25"
"Air/Bus/Train Terminal","","","","","1","3","1","2"
"Bank/Savings and Loan","2","","","","","1","6","2"
"Bar/Nightclub","","5","3","","","","","2"
"Commercial/Office Building","3","","","","","","2","4"
"Convenience Store","","3","","","","","",""
"Department/Discount Store","1","","","","","1","6","2"
"Drug Store/Doctor’s Office/Hospital","","","","","","","","1"
"Grocery/Supermarket","","","","","","","1","2"
"Hotel/Motel/Etc.","2","3","1","1","2","3","1","4"
"Liquor Store","","","","","","","2","1"
"Rental Storage Facility","","","","","","","",""
"Restaurant","1","3","1","","","1","2",""
"Service/Gas Station","","","","","","1","1","1"
"Specialty Store","1","1","","","","3","3","4"
"ATM Separate from Bank","","","","","","","",""
"Auto Dealership New/Used","","","","","","","",""
"Gambling Facility/Casino/Race Track","","","","","","","",""
"Shopping Mall","","","","","","","",""
"Educational Facility","","","","","","","1",""
"School/College(Historical Only)","","","","","","","1",""
"Daycare Facility","","","","","","","",""
"School – College/University","","","","","","","",""
"School – Elementary/Secondary","","","","","","","",""
"Government/Public Building and other","5","4","","","3","4","4","3"
"Church/Synagogue/Temple/Mosque","","","","","","1","",""
"Government/Public Building","3","1","","","1","2","2",""
"Jail/Prison/Penitentiary/Corrections Facility","","","","","","","",""
"Amusement Park","","","","","","","",""
"Arena/Stadium/Fairgrounds/Coliseum","","","","","","","",""
"Military Installation","","","","","","","",""
"Park/Playground","2","3","","","2","1","1","3"
"Shelter – Mission/Homeless","","","","","","","",""
"Tribal Lands","","","","","","","",""
"Community Center","","","","","","","1",""
"Road/Parking/Camps","14","14","9","1","3","9","17","17"
"Highway/Road/Alley/Street/Sidewalk","3","12","9","","1","2","6","8"
"Parking/Drop Lot/Garage","7","2","","1","1","5","8","4"
"Rest Area","1","","","","","","",""
"Field/Woods/Waterways/Camps","3","","","","1","2","3","5"
"Field/Woods","1","","","","","","1","3"
"Lake/Waterway/Beach","1","","","","","","2","1"
"Camp/Campground","","","","","","2","","1"
"Dock/Wharf/Freight/Modal Terminal","1","","","","1","","",""
"Construction/Industrial/Farm","","","","","1","","3","4"
"Construction Site","","","","","1","","2","3"
"Farm Facility","","","","","","","","1"
"Industrial Site","","","","","","","1",""
"Cyberspace","1","1","","","","2","2","4"
"Abandoned/Condemned Structure","","","","","","","",""
"Other/Unknown","5","2","4","1","3","7","6","12"
"Missing","","","","","","","",""
