"Number of Crimes by Hour of Day by Location"
"Current date: 8/30/2022 7:09:03 PM (Eastern Daylight Time)"
"Measures: Number of Crimes"
"Data source: Massachusetts_SS, Offense Data"
"Jurisdiction by Geography: Essex County"
"Incident Date: 2021"
"Incident Hour of Day","6:00pm-8:59pm","9:00pm-11:59pm","12:00am-2:59am","3:00am-5:59am","6:00am-8:59am","9:00am-11:59am","12:00n-2:59pm","3:00pm-5:59pm",
"Location Type"
"All Location Types","3,143","2,122","1,308","724","1,544","3,755","4,184","3,907"
"Residence/Home","1,412","1,115","694","399","662","1,528","1,629","1,698"
"Commercial","632","294","147","92","235","647","813","704"
"Air/Bus/Train Terminal","6","1","1","","","4","4","2"
"Bank/Savings and Loan","25","9","","2","9","73","103","66"
"Bar/Nightclub","10","35","29","1","5","9","11","15"
"Commercial/Office Building","56","14","19","12","50","96","110","83"
"Convenience Store","66","34","12","12","26","39","62","48"
"Department/Discount Store","132","38","5","4","13","72","136","161"
"Drug Store/Doctor’s Office/Hospital","63","26","13","6","25","70","64","71"
"Grocery/Supermarket","35","9","3","1","8","33","45","42"
"Hotel/Motel/Etc.","36","40","25","25","24","38","35","21"
"Liquor Store","9","7","4","2","3","9","11","12"
"Rental Storage Facility","10","1","1","3","5","11","24","10"
"Restaurant","73","45","22","9","22","58","50","53"
"Service/Gas Station","21","14","6","5","20","33","27","20"
"Specialty Store","61","12","4","7","20","68","92","66"
"ATM Separate from Bank","2","1","","","","7","15","4"
"Auto Dealership New/Used","10","5","3","2","3","17","13","12"
"Gambling Facility/Casino/Race Track","1","1","","","","","","1"
"Shopping Mall","16","2","","1","2","10","11","17"
"Educational Facility","39","27","27","6","50","131","167","64"
"School/College(Historical Only)","","3","","1","7","10","14","7"
"Daycare Facility","","","","","","3","1",""
"School – College/University","27","21","21","4","10","24","26","22"
"School – Elementary/Secondary","12","3","6","1","33","94","126","35"
"Government/Public Building and other","96","61","22","18","58","191","146","162"
"Church/Synagogue/Temple/Mosque","6","4","","","2","17","9","11"
"Government/Public Building","51","22","8","8","36","119","86","91"
"Jail/Prison/Penitentiary/Corrections Facility","1","2","5","2","","3","5","5"
"Amusement Park","","1","","","","","",""
"Arena/Stadium/Fairgrounds/Coliseum","2","1","1","","2","3","5",""
"Military Installation","","","","","","","1",""
"Park/Playground","26","28","8","4","15","40","37","49"
"Shelter – Mission/Homeless","1","1","","3","1","3","2","2"
"Tribal Lands","","1","","","","","",""
"Community Center","9","1","","1","2","6","1","4"
"Road/Parking/Camps","637","476","337","175","400","685","777","774"
"Highway/Road/Alley/Street/Sidewalk","462","364","257","125","238","406","510","533"
"Parking/Drop Lot/Garage","159","91","80","45","136","240","242","219"
"Rest Area","1","2","","1","","3","2","1"
"Field/Woods/Waterways/Camps","15","19","","4","26","36","23","21"
"Field/Woods","9","9","","4","20","25","12","13"
"Lake/Waterway/Beach","5","3","","","1","5","6","2"
"Camp/Campground","1","2","","","1","2","1","4"
"Dock/Wharf/Freight/Modal Terminal","","5","","","4","4","4","2"
"Construction/Industrial/Farm","5","3","1","2","26","32","10","6"
"Construction Site","3","1","","","21","20","7","5"
"Farm Facility","","2","","","","1","1","1"
"Industrial Site","2","","1","2","5","11","2",""
"Cyberspace","54","17","3","1","16","151","156","85"
"Abandoned/Condemned Structure","2","","","2","1","2","2","4"
"Other/Unknown","266","129","77","29","96","388","484","410"
"Missing","","","","","","","",""
