"Number of Crimes by Hour of Day by Location"
"Current date: 8/30/2022 7:09:21 PM (Eastern Daylight Time)"
"Measures: Number of Crimes"
"Data source: Massachusetts_SS, Offense Data"
"Jurisdiction by Geography: Franklin County"
"Incident Date: 2021"
"Incident Hour of Day","6:00pm-8:59pm","9:00pm-11:59pm","12:00am-2:59am","3:00am-5:59am","6:00am-8:59am","9:00am-11:59am","12:00n-2:59pm","3:00pm-5:59pm",
"Location Type"
"All Location Types","306","240","161","59","177","322","335","370"
"Residence/Home","147","97","70","22","80","153","159","168"
"Commercial","59","37","26","15","31","61","67","69"
"Air/Bus/Train Terminal","","","","","","","","1"
"Bank/Savings and Loan","3","","1","","3","6","9","2"
"Bar/Nightclub","6","9","","","","","",""
"Commercial/Office Building","9","2","5","4","8","21","16","10"
"Convenience Store","12","6","1","3","7","3","5","13"
"Department/Discount Store","6","2","","2","2","6","7",""
"Drug Store/Doctor’s Office/Hospital","5","2","4","2","1","4","4","4"
"Grocery/Supermarket","1","","","","","4","14","18"
"Hotel/Motel/Etc.","7","8","8","1","2","3","1","3"
"Liquor Store","1","3","","","","","1","4"
"Rental Storage Facility","","","","","2","1","","1"
"Restaurant","4","2","3","1","5","1","2","3"
"Service/Gas Station","3","3","4","","1","5","3","2"
"Specialty Store","2","","","2","","6","5","8"
"ATM Separate from Bank","","","","","","1","",""
"Auto Dealership New/Used","","","","","","","",""
"Gambling Facility/Casino/Race Track","","","","","","","",""
"Shopping Mall","","","","","","","",""
"Educational Facility","","1","","","2","7","9","7"
"School/College(Historical Only)","","","","","","","",""
"Daycare Facility","","","","","","","",""
"School – College/University","","","","","","1","1",""
"School – Elementary/Secondary","","1","","","2","6","8","7"
"Government/Public Building and other","6","5","2","4","6","15","23","30"
"Church/Synagogue/Temple/Mosque","1","","","","1","1","","2"
"Government/Public Building","2","5","1","4","4","13","18","26"
"Jail/Prison/Penitentiary/Corrections Facility","","","1","","","","",""
"Amusement Park","","","","","","","",""
"Arena/Stadium/Fairgrounds/Coliseum","","","","","","","",""
"Military Installation","","","","","","","",""
"Park/Playground","3","","","","","1","5","2"
"Shelter – Mission/Homeless","","","","","","","",""
"Tribal Lands","","","","","","","",""
"Community Center","","","","","1","","",""
"Road/Parking/Camps","57","80","57","17","43","66","51","60"
"Highway/Road/Alley/Street/Sidewalk","53","72","50","15","24","40","30","48"
"Parking/Drop Lot/Garage","2","3","5","2","10","18","8","2"
"Rest Area","1","2","","","","","","5"
"Field/Woods/Waterways/Camps","1","3","2","","9","8","13","5"
"Field/Woods","1","2","2","","9","6","10","5"
"Lake/Waterway/Beach","","","","","","1","3",""
"Camp/Campground","","1","","","","1","",""
"Dock/Wharf/Freight/Modal Terminal","","","","","","","",""
"Construction/Industrial/Farm","","","1","","8","4","4","1"
"Construction Site","","","","","3","1","1","1"
"Farm Facility","","","","","4","1","",""
"Industrial Site","","","1","","1","2","3",""
"Cyberspace","3","1","","","2","2","2","3"
"Abandoned/Condemned Structure","","","","","","1","","1"
"Other/Unknown","34","19","5","1","5","13","20","31"
"Missing","","","","","","","",""
