"Number of Crimes by Hour of Day by Location"
"Current date: 8/30/2022 7:09:42 PM (Eastern Daylight Time)"
"Measures: Number of Crimes"
"Data source: Massachusetts_SS, Offense Data"
"Jurisdiction by Geography: Hampden County"
"Incident Date: 2021"
"Incident Hour of Day","6:00pm-8:59pm","9:00pm-11:59pm","12:00am-2:59am","3:00am-5:59am","6:00am-8:59am","9:00am-11:59am","12:00n-2:59pm","3:00pm-5:59pm",
"Location Type"
"All Location Types","4,213","2,706","2,123","1,140","2,210","4,669","4,966","4,955"
"Residence/Home","2,075","1,388","966","538","1,054","2,192","2,363","2,376"
"Commercial","702","350","281","186","317","838","849","882"
"Air/Bus/Train Terminal","13","9","","4","6","8","9","13"
"Bank/Savings and Loan","13","1","3","4","9","47","46","30"
"Bar/Nightclub","17","31","50","10","4","12","17","15"
"Commercial/Office Building","48","33","20","21","80","177","104","99"
"Convenience Store","105","48","34","32","41","76","87","105"
"Department/Discount Store","151","25","7","2","23","118","153","194"
"Drug Store/Doctor’s Office/Hospital","50","27","31","43","27","66","46","47"
"Grocery/Supermarket","72","9","8","","24","84","113","92"
"Hotel/Motel/Etc.","31","38","43","18","38","45","49","36"
"Liquor Store","21","9","","3","1","11","13","16"
"Rental Storage Facility","2","1","4","4","4","9","8","11"
"Restaurant","74","58","28","10","10","48","47","63"
"Service/Gas Station","37","38","35","23","23","50","45","51"
"Specialty Store","57","11","9","9","26","76","94","81"
"ATM Separate from Bank","3","","","","","","",""
"Auto Dealership New/Used","3","5","2","1","1","8","12","13"
"Gambling Facility/Casino/Race Track","1","6","7","2","","2","","3"
"Shopping Mall","4","1","","","","1","6","13"
"Educational Facility","32","14","19","5","64","111","93","45"
"School/College(Historical Only)","","","","","","","",""
"Daycare Facility","7","2","1","1","2","4","2","4"
"School – College/University","11","7","18","3","17","30","21","14"
"School – Elementary/Secondary","14","5","","1","45","77","70","27"
"Government/Public Building and other","118","49","40","20","47","143","143","167"
"Church/Synagogue/Temple/Mosque","10","2","4","2","3","16","10","13"
"Government/Public Building","63","35","24","11","40","100","105","110"
"Jail/Prison/Penitentiary/Corrections Facility","3","","","","","1","1",""
"Amusement Park","11","1","2","","","1","1",""
"Arena/Stadium/Fairgrounds/Coliseum","4","1","","","2","3","3","1"
"Military Installation","","","","","1","","",""
"Park/Playground","22","7","10","6","","20","19","35"
"Shelter – Mission/Homeless","3","","","","","2","2","3"
"Tribal Lands","","","","","","","",""
"Community Center","2","3","","1","1","","2","5"
"Road/Parking/Camps","878","690","640","305","487","888","975","942"
"Highway/Road/Alley/Street/Sidewalk","764","618","580","258","378","697","751","788"
"Parking/Drop Lot/Garage","95","66","55","46","100","174","205","142"
"Rest Area","2","1","1","","1","1","",""
"Field/Woods/Waterways/Camps","17","5","4","1","8","16","19","12"
"Field/Woods","17","5","3","","7","9","17","9"
"Lake/Waterway/Beach","","","1","1","","","","3"
"Camp/Campground","","","","","1","2","",""
"Dock/Wharf/Freight/Modal Terminal","","","","","","5","2",""
"Construction/Industrial/Farm","3","2","2","","7","27","7","7"
"Construction Site","","","","","7","16","5","4"
"Farm Facility","","1","","","","3","1",""
"Industrial Site","3","1","2","","","8","1","3"
"Cyberspace","15","3","5","2","5","11","10","29"
"Abandoned/Condemned Structure","","1","","","","1","1","1"
"Other/Unknown","390","209","170","84","229","458","525","506"
"Missing","","","","","","","",""
