"Number of Crimes by Hour of Day by Location"
"Current date: 8/30/2022 7:09:58 PM (Eastern Daylight Time)"
"Measures: Number of Crimes"
"Data source: Massachusetts_SS, Offense Data"
"Jurisdiction by Geography: Hampshire County"
"Incident Date: 2021"
"Incident Hour of Day","6:00pm-8:59pm","9:00pm-11:59pm","12:00am-2:59am","3:00am-5:59am","6:00am-8:59am","9:00am-11:59am","12:00n-2:59pm","3:00pm-5:59pm",
"Location Type"
"All Location Types","543","362","288","125","294","650","752","785"
"Residence/Home","244","186","113","60","110","273","321","366"
"Commercial","112","77","49","22","79","155","189","179"
"Air/Bus/Train Terminal","1","1","","","","1","","3"
"Bank/Savings and Loan","1","1","2","2","","9","10","12"
"Bar/Nightclub","3","8","13","2","1","2","8","9"
"Commercial/Office Building","33","17","11","2","32","61","50","50"
"Convenience Store","4","2","8","3","4","8","16","2"
"Department/Discount Store","16","6","","2","7","10","25","18"
"Drug Store/Doctor’s Office/Hospital","3","2","1","","1","10","10","5"
"Grocery/Supermarket","13","3","2","","5","12","13","27"
"Hotel/Motel/Etc.","1","5","1","5","2","6","3","2"
"Liquor Store","6","2","","","1","1","7","8"
"Rental Storage Facility","1","","1","1","","2","4","4"
"Restaurant","22","24","6","5","11","14","19","16"
"Service/Gas Station","","3","2","","6","5","10","6"
"Specialty Store","8","3","2","","7","12","14","17"
"ATM Separate from Bank","","","","","","","",""
"Auto Dealership New/Used","","","","","2","2","",""
"Gambling Facility/Casino/Race Track","","","","","","","",""
"Shopping Mall","","","","","","","",""
"Educational Facility","28","11","5","4","23","58","35","31"
"School/College(Historical Only)","","","","","","","","1"
"Daycare Facility","","","","","","1","",""
"School – College/University","20","11","4","3","15","25","19","22"
"School – Elementary/Secondary","8","","1","1","8","32","16","8"
"Government/Public Building and other","31","11","13","5","21","48","50","42"
"Church/Synagogue/Temple/Mosque","1","","1","","7","7","4","1"
"Government/Public Building","24","9","11","5","11","35","40","35"
"Jail/Prison/Penitentiary/Corrections Facility","","1","","","","1","2","1"
"Amusement Park","1","","","","","1","",""
"Arena/Stadium/Fairgrounds/Coliseum","","","","","","","",""
"Military Installation","","","","","","","",""
"Park/Playground","5","1","1","","3","4","3","5"
"Shelter – Mission/Homeless","","","","","","","",""
"Tribal Lands","","","","","","","",""
"Community Center","","","","","","","1",""
"Road/Parking/Camps","83","54","95","28","37","77","97","102"
"Highway/Road/Alley/Street/Sidewalk","62","39","79","22","15","37","54","68"
"Parking/Drop Lot/Garage","16","9","15","3","11","33","31","26"
"Rest Area","","","","","1","","",""
"Field/Woods/Waterways/Camps","5","6","1","3","10","7","12","8"
"Field/Woods","5","6","1","3","9","6","10","6"
"Lake/Waterway/Beach","","","","","1","","2","1"
"Camp/Campground","","","","","","1","",""
"Dock/Wharf/Freight/Modal Terminal","","","","","","","","1"
"Construction/Industrial/Farm","","","2","","3","1","2","2"
"Construction Site","","","2","","3","1","","1"
"Farm Facility","","","","","","","1","1"
"Industrial Site","","","","","","","1",""
"Cyberspace","2","","","","1","6","5",""
"Abandoned/Condemned Structure","1","","","","","2","1",""
"Other/Unknown","42","23","11","6","20","30","52","63"
"Missing","","","","","","","",""
