"Number of Crimes by Hour of Day by Location"
"Current date: 8/30/2022 7:10:16 PM (Eastern Daylight Time)"
"Measures: Number of Crimes"
"Data source: Massachusetts_SS, Offense Data"
"Jurisdiction by Geography: Middlesex County"
"Incident Date: 2021"
"Incident Hour of Day","6:00pm-8:59pm","9:00pm-11:59pm","12:00am-2:59am","3:00am-5:59am","6:00am-8:59am","9:00am-11:59am","12:00n-2:59pm","3:00pm-5:59pm",
"Location Type"
"All Location Types","5,479","3,460","2,115","1,089","2,992","6,745","7,520","7,260"
"Residence/Home","2,397","1,625","917","453","1,240","2,984","3,155","3,053"
"Commercial","1,026","599","391","233","519","1,225","1,645","1,597"
"Air/Bus/Train Terminal","8","2","1","1","5","6","9","19"
"Bank/Savings and Loan","40","13","16","","34","173","221","138"
"Bar/Nightclub","10","42","58","6","8","14","9","12"
"Commercial/Office Building","72","54","32","26","137","223","237","190"
"Convenience Store","87","56","42","49","41","69","91","90"
"Department/Discount Store","224","66","7","5","32","173","322","368"
"Drug Store/Doctor’s Office/Hospital","72","66","43","19","39","68","108","109"
"Grocery/Supermarket","109","34","7","2","16","93","126","149"
"Hotel/Motel/Etc.","89","56","80","50","58","90","112","68"
"Liquor Store","35","15","","5","9","18","33","44"
"Rental Storage Facility","11","2","2","2","8","15","23","20"
"Restaurant","84","94","64","36","43","96","112","108"
"Service/Gas Station","55","52","27","17","45","57","63","56"
"Specialty Store","84","29","6","8","36","100","132","165"
"ATM Separate from Bank","3","","2","2","1","3","6","8"
"Auto Dealership New/Used","4","10","1","4","4","14","12","12"
"Gambling Facility/Casino/Race Track","","","","","","","","1"
"Shopping Mall","39","8","3","1","3","13","29","40"
"Educational Facility","103","56","38","17","99","235","306","186"
"School/College(Historical Only)","21","6","1","1","18","54","55","18"
"Daycare Facility","","1","","1","1","2","6","4"
"School – College/University","50","40","34","13","33","72","103","88"
"School – Elementary/Secondary","32","9","3","2","47","107","142","76"
"Government/Public Building and other","194","92","33","21","85","204","246","229"
"Church/Synagogue/Temple/Mosque","10","15","1","1","9","18","23","17"
"Government/Public Building","84","51","18","16","55","132","148","140"
"Jail/Prison/Penitentiary/Corrections Facility","3","1","2","","1","1","4","2"
"Amusement Park","2","1","","","","","","1"
"Arena/Stadium/Fairgrounds/Coliseum","5","3","","","","1","1","4"
"Military Installation","3","","1","","","1","","3"
"Park/Playground","72","16","8","3","11","30","50","56"
"Shelter – Mission/Homeless","11","4","2","1","6","12","6","5"
"Tribal Lands","","","","","","","",""
"Community Center","4","1","1","","3","9","14","1"
"Road/Parking/Camps","1,276","876","619","298","707","1,257","1,202","1,398"
"Highway/Road/Alley/Street/Sidewalk","920","670","477","227","471","848","790","968"
"Parking/Drop Lot/Garage","332","194","134","71","224","374","391","394"
"Rest Area","1","","","","","1","",""
"Field/Woods/Waterways/Camps","23","12","8","","12","34","21","36"
"Field/Woods","20","11","8","","10","26","17","27"
"Lake/Waterway/Beach","2","","","","","4","3","6"
"Camp/Campground","1","1","","","2","2","","2"
"Dock/Wharf/Freight/Modal Terminal","","","","","","2","1","1"
"Construction/Industrial/Farm","9","7","1","1","39","38","26","15"
"Construction Site","7","7","1","","30","24","15","10"
"Farm Facility","1","","","","2","4","7","1"
"Industrial Site","1","","","1","7","10","4","4"
"Cyberspace","120","28","5","2","55","245","293","223"
"Abandoned/Condemned Structure","1","2","3","","","4","3","2"
"Other/Unknown","353","175","108","64","248","553","644","557"
"Missing","","","","","","","",""
