"Number of Crimes by Hour of Day by Location"
"Current date: 8/30/2022 7:10:36 PM (Eastern Daylight Time)"
"Measures: Number of Crimes"
"Data source: Massachusetts_SS, Offense Data"
"Jurisdiction by Geography: Nantucket County"
"Incident Date: 2021"
"Incident Hour of Day","6:00pm-8:59pm","9:00pm-11:59pm","12:00am-2:59am","3:00am-5:59am","6:00am-8:59am","9:00am-11:59am","12:00n-2:59pm","3:00pm-5:59pm",
"Location Type"
"All Location Types","49","45","45","7","35","107","103","65"
"Residence/Home","24","18","18","3","16","36","34","30"
"Commercial","8","15","11","2","11","25","32","16"
"Air/Bus/Train Terminal","2","","","","","2","2","1"
"Bank/Savings and Loan","","","","","1","4","","1"
"Bar/Nightclub","2","7","8","","","1","3",""
"Commercial/Office Building","","","","1","","4","2","4"
"Convenience Store","","","","","","2","1","2"
"Department/Discount Store","","","","","1","1","3",""
"Drug Store/Doctor’s Office/Hospital","","","","1","1","","",""
"Grocery/Supermarket","","4","","","2","2","3","4"
"Hotel/Motel/Etc.","","3","2","","1","","6","1"
"Liquor Store","","","","","","2","1",""
"Rental Storage Facility","","","","","","","1",""
"Restaurant","2","1","1","","2","2","4",""
"Service/Gas Station","","","","","","","",""
"Specialty Store","2","","","","3","5","6","3"
"ATM Separate from Bank","","","","","","","",""
"Auto Dealership New/Used","","","","","","","",""
"Gambling Facility/Casino/Race Track","","","","","","","",""
"Shopping Mall","","","","","","","",""
"Educational Facility","","","1","","1","12","2","4"
"School/College(Historical Only)","","","1","","1","12","2","4"
"Daycare Facility","","","","","","","",""
"School – College/University","","","","","","","",""
"School – Elementary/Secondary","","","","","","","",""
"Government/Public Building and other","1","","3","","","","",""
"Church/Synagogue/Temple/Mosque","1","","","","","","",""
"Government/Public Building","","","2","","","","",""
"Jail/Prison/Penitentiary/Corrections Facility","","","1","","","","",""
"Amusement Park","","","","","","","",""
"Arena/Stadium/Fairgrounds/Coliseum","","","","","","","",""
"Military Installation","","","","","","","",""
"Park/Playground","","","","","","","",""
"Shelter – Mission/Homeless","","","","","","","",""
"Tribal Lands","","","","","","","",""
"Community Center","","","","","","","",""
"Road/Parking/Camps","12","11","12","2","6","22","28","8"
"Highway/Road/Alley/Street/Sidewalk","5","8","9","2","3","12","13","5"
"Parking/Drop Lot/Garage","4","3","2","","2","9","7","1"
"Rest Area","","","","","","","",""
"Field/Woods/Waterways/Camps","3","","1","","1","1","8","2"
"Field/Woods","","","1","","1","1","3","2"
"Lake/Waterway/Beach","3","","","","","","5",""
"Camp/Campground","","","","","","","",""
"Dock/Wharf/Freight/Modal Terminal","","","","","","","",""
"Construction/Industrial/Farm","","","","","","2","",""
"Construction Site","","","","","","2","",""
"Farm Facility","","","","","","","",""
"Industrial Site","","","","","","","",""
"Cyberspace","","","","","","","",""
"Abandoned/Condemned Structure","","","","","","","",""
"Other/Unknown","4","1","","","1","10","7","7"
"Missing","","","","","","","",""
