"Number of Crimes by Hour of Day by Location"
"Current date: 8/30/2022 7:10:59 PM (Eastern Daylight Time)"
"Measures: Number of Crimes"
"Data source: Massachusetts_SS, Offense Data"
"Jurisdiction by Geography: Norfolk County"
"Incident Date: 2021"
"Incident Hour of Day","6:00pm-8:59pm","9:00pm-11:59pm","12:00am-2:59am","3:00am-5:59am","6:00am-8:59am","9:00am-11:59am","12:00n-2:59pm","3:00pm-5:59pm",
"Location Type"
"All Location Types","2,357","1,326","819","344","1,162","2,964","3,299","3,118"
"Residence/Home","994","588","395","176","514","1,318","1,357","1,348"
"Commercial","566","290","114","71","236","634","884","741"
"Air/Bus/Train Terminal","3","5","1","","","4","4","1"
"Bank/Savings and Loan","29","5","3","2","21","106","134","75"
"Bar/Nightclub","9","35","17","","","2","8","4"
"Commercial/Office Building","32","9","6","13","74","133","108","79"
"Convenience Store","18","12","8","10","13","26","20","22"
"Department/Discount Store","143","49","10","3","14","81","186","179"
"Drug Store/Doctor’s Office/Hospital","34","17","10","7","15","30","51","37"
"Grocery/Supermarket","47","22","6","2","11","34","56","59"
"Hotel/Motel/Etc.","30","28","26","14","28","35","45","35"
"Liquor Store","11","7","2","","1","10","9","12"
"Rental Storage Facility","3","1","","","4","19","20","8"
"Restaurant","54","50","11","12","13","43","41","36"
"Service/Gas Station","20","22","8","5","13","24","51","34"
"Specialty Store","76","22","1","2","24","62","110","119"
"ATM Separate from Bank","7","","1","","1","2","1","3"
"Auto Dealership New/Used","3","1","1","","4","15","18","8"
"Gambling Facility/Casino/Race Track","","","","","","","1",""
"Shopping Mall","47","5","3","1","","8","21","30"
"Educational Facility","35","24","10","1","28","91","76","40"
"School/College(Historical Only)","3","","1","","4","2","2","3"
"Daycare Facility","3","1","","","3","4","4","1"
"School – College/University","12","13","9","1","6","20","20","7"
"School – Elementary/Secondary","17","10","","","15","65","50","29"
"Government/Public Building and other","60","16","16","7","22","90","73","76"
"Church/Synagogue/Temple/Mosque","4","1","","","7","6","6","6"
"Government/Public Building","30","4","4","3","7","52","44","40"
"Jail/Prison/Penitentiary/Corrections Facility","2","2","3","1","","1","3",""
"Amusement Park","","","","","","1","",""
"Arena/Stadium/Fairgrounds/Coliseum","2","1","","","","4","1","1"
"Military Installation","","","","","","","",""
"Park/Playground","18","6","4","2","4","18","17","21"
"Shelter – Mission/Homeless","","1","2","1","1","4","1","4"
"Tribal Lands","","","","","","","",""
"Community Center","4","1","3","","3","4","1","4"
"Road/Parking/Camps","380","260","178","58","174","368","358","425"
"Highway/Road/Alley/Street/Sidewalk","234","165","143","44","90","176","207","254"
"Parking/Drop Lot/Garage","135","86","32","12","80","176","139","149"
"Rest Area","","","","","","","",""
"Field/Woods/Waterways/Camps","11","9","3","2","4","16","12","22"
"Field/Woods","9","9","2","2","3","11","10","18"
"Lake/Waterway/Beach","2","","","","","2","2","1"
"Camp/Campground","","","","","","2","",""
"Dock/Wharf/Freight/Modal Terminal","","","1","","1","1","","3"
"Construction/Industrial/Farm","3","4","3","","21","11","6","16"
"Construction Site","2","1","1","","12","9","3","13"
"Farm Facility","","1","","","2","","","1"
"Industrial Site","1","2","2","","7","2","3","2"
"Cyberspace","70","19","7","2","22","111","146","130"
"Abandoned/Condemned Structure","1","3","1","","5","3","","2"
"Other/Unknown","248","122","95","29","140","338","399","340"
"Missing","","","","","","","",""
