"Number of Crimes by Hour of Day by Location"
"Current date: 8/30/2022 7:11:16 PM (Eastern Daylight Time)"
"Measures: Number of Crimes"
"Data source: Massachusetts_SS, Offense Data"
"Jurisdiction by Geography: Plymouth County"
"Incident Date: 2021"
"Incident Hour of Day","6:00pm-8:59pm","9:00pm-11:59pm","12:00am-2:59am","3:00am-5:59am","6:00am-8:59am","9:00am-11:59am","12:00n-2:59pm","3:00pm-5:59pm",
"Location Type"
"All Location Types","1,972","1,548","845","426","985","2,326","2,518","2,456"
"Residence/Home","998","842","421","213","494","1,121","1,169","1,223"
"Commercial","424","310","190","75","148","385","481","517"
"Air/Bus/Train Terminal","7","1","1","","2","2","3","6"
"Bank/Savings and Loan","14","3","3","","7","17","35","27"
"Bar/Nightclub","12","28","23","","7","6","4","8"
"Commercial/Office Building","57","39","21","11","37","100","80","72"
"Convenience Store","22","36","20","10","12","12","22","26"
"Department/Discount Store","57","30","8","1","7","35","49","83"
"Drug Store/Doctor’s Office/Hospital","37","22","33","11","8","27","37","41"
"Grocery/Supermarket","94","56","8","1","6","36","94","122"
"Hotel/Motel/Etc.","22","19","34","14","16","30","40","19"
"Liquor Store","10","5","2","","2","4","3","3"
"Rental Storage Facility","6","1","","","1","3","6","2"
"Restaurant","41","47","25","18","10","30","36","27"
"Service/Gas Station","18","14","7","5","16","29","23","30"
"Specialty Store","23","7","5","4","16","42","46","44"
"ATM Separate from Bank","","","","","","","",""
"Auto Dealership New/Used","3","2","","","1","11","3","3"
"Gambling Facility/Casino/Race Track","","","","","","","",""
"Shopping Mall","1","","","","","1","","4"
"Educational Facility","21","7","3","1","31","97","86","20"
"School/College(Historical Only)","","","","","1","2","2","1"
"Daycare Facility","","","","","","3","","1"
"School – College/University","4","","2","","2","4","5","1"
"School – Elementary/Secondary","17","7","1","1","28","88","79","17"
"Government/Public Building and other","73","30","23","12","47","129","145","126"
"Church/Synagogue/Temple/Mosque","1","1","1","1","3","12","7","10"
"Government/Public Building","52","26","16","8","40","107","127","105"
"Jail/Prison/Penitentiary/Corrections Facility","2","","","","","","2","1"
"Amusement Park","","1","","","","","1",""
"Arena/Stadium/Fairgrounds/Coliseum","","","","","","","2","1"
"Military Installation","","","","","","","",""
"Park/Playground","15","2","6","3","2","9","5","8"
"Shelter – Mission/Homeless","1","","","","","","1",""
"Tribal Lands","","","","","","","",""
"Community Center","2","","","","2","1","","1"
"Road/Parking/Camps","284","236","138","89","156","293","320","287"
"Highway/Road/Alley/Street/Sidewalk","237","206","130","83","122","231","249","230"
"Parking/Drop Lot/Garage","33","27","7","4","23","44","48","29"
"Rest Area","","","","","","","1",""
"Field/Woods/Waterways/Camps","14","3","1","2","11","18","22","28"
"Field/Woods","9","2","1","2","11","10","11","16"
"Lake/Waterway/Beach","5","","","","","4","8","7"
"Camp/Campground","","1","","","","3","3","2"
"Dock/Wharf/Freight/Modal Terminal","","","","","","1","","3"
"Construction/Industrial/Farm","2","3","3","2","17","24","11","9"
"Construction Site","2","1","3","2","15","17","10","4"
"Farm Facility","","1","","","1","4","1","1"
"Industrial Site","","1","","","1","3","","4"
"Cyberspace","5","2","3","","2","9","18","30"
"Abandoned/Condemned Structure","","2","2","1","","2","1",""
"Other/Unknown","165","116","62","33","90","266","287","244"
"Missing","","","","","","","",""
