"Number of Crimes by Hour of Day by Location"
"Current date: 8/30/2022 7:11:42 PM (Eastern Daylight Time)"
"Measures: Number of Crimes"
"Data source: Massachusetts_SS, Offense Data"
"Jurisdiction by Geography: Suffolk County"
"Incident Date: 2021"
"Incident Hour of Day","6:00pm-8:59pm","9:00pm-11:59pm","12:00am-2:59am","3:00am-5:59am","6:00am-8:59am","9:00am-11:59am","12:00n-2:59pm","3:00pm-5:59pm",
"Location Type"
"All Location Types","6,806","4,947","6,958","1,774","3,060","5,742","7,275","7,596"
"Residence/Home","2,535","2,129","3,222","829","1,211","2,457","2,990","2,805"
"Commercial","1,479","820","1,135","288","602","1,228","1,746","1,896"
"Air/Bus/Train Terminal","20","8","10","4","12","11","3","26"
"Bank/Savings and Loan","17","7","31","3","16","48","77","30"
"Bar/Nightclub","26","108","249","7","3","8","9","16"
"Commercial/Office Building","148","55","132","34","100","167","240","235"
"Convenience Store","222","101","68","28","91","175","210","216"
"Department/Discount Store","296","46","81","18","60","246","401","476"
"Drug Store/Doctor’s Office/Hospital","219","137","153","67","116","196","249","251"
"Grocery/Supermarket","112","29","21","7","35","80","95","113"
"Hotel/Motel/Etc.","53","88","124","45","44","54","78","52"
"Liquor Store","24","27","9","3","3","9","23","34"
"Rental Storage Facility","5","3","9","7","6","12","6","21"
"Restaurant","204","156","161","33","65","91","140","169"
"Service/Gas Station","23","19","29","13","10","24","28","28"
"Specialty Store","63","13","22","7","22","59","122","136"
"ATM Separate from Bank","4","6","11","4","4","4","6","4"
"Auto Dealership New/Used","7","2","9","5","7","15","8","11"
"Gambling Facility/Casino/Race Track","","","","","","","",""
"Shopping Mall","36","15","16","3","8","29","51","78"
"Educational Facility","135","67","87","20","93","209","286","246"
"School/College(Historical Only)","1","3","3","2","1","5","7",""
"Daycare Facility","1","1","6","1","4","7","2","2"
"School – College/University","118","54","45","15","36","124","174","173"
"School – Elementary/Secondary","15","9","33","2","52","73","103","71"
"Government/Public Building and other","275","160","213","56","200","262","274","357"
"Church/Synagogue/Temple/Mosque","8","2","7","1","6","32","10","14"
"Government/Public Building","95","51","106","23","144","120","148","149"
"Jail/Prison/Penitentiary/Corrections Facility","3","2","4","1","","2","1","3"
"Amusement Park","1","","1","","","","","4"
"Arena/Stadium/Fairgrounds/Coliseum","15","23","3","4","1","3","3","9"
"Military Installation","1","","","","","","",""
"Park/Playground","110","51","44","14","19","59","66","135"
"Shelter – Mission/Homeless","36","26","38","13","24","38","43","35"
"Tribal Lands","","","","","","","",""
"Community Center","6","5","10","","6","8","3","8"
"Road/Parking/Camps","2,175","1,656","2,059","528","840","1,364","1,690","2,034"
"Highway/Road/Alley/Street/Sidewalk","1,932","1,506","1,813","460","714","1,177","1,477","1,775"
"Parking/Drop Lot/Garage","227","149","236","61","122","161","196","244"
"Rest Area","1","","3","1","1","1","1","2"
"Field/Woods/Waterways/Camps","15","1","7","6","3","25","16","13"
"Field/Woods","6","1","1","2","1","16","10","13"
"Lake/Waterway/Beach","3","","","1","1","6","3",""
"Camp/Campground","2","","","","","1","1",""
"Dock/Wharf/Freight/Modal Terminal","4","","6","3","1","2","2",""
"Construction/Industrial/Farm","17","11","21","10","24","15","23","35"
"Construction Site","15","11","20","9","22","10","19","33"
"Farm Facility","","","","","","","1",""
"Industrial Site","2","","1","1","2","5","3","2"
"Cyberspace","7","7","2","","2","6","15","18"
"Abandoned/Condemned Structure","2","","1","1","1","3","1",""
"Other/Unknown","181","97","218","42","87","198","250","205"
"Missing","","","","","","","",""
