"Number of Crimes by Hour of Day by Location"
"Current date: 8/28/2022 10:35:41 PM (Eastern Daylight Time)"
"Measures: Number of Crimes"
"Data source: Massachusetts_SS, Offense Data"
"Jurisdiction by Geography: Worcester County"
"Incident Date: 2017"
"Incident Hour of Day","6:00pm-8:59pm","9:00pm-11:59pm","12:00am-2:59am","3:00am-5:59am","6:00am-8:59am","9:00am-11:59am","12:00n-2:59pm","3:00pm-5:59pm",
"Location Type"
"All Location Types","4,859","3,328","2,271","1,053","2,565","5,387","5,656","5,934"
"Residence/Home","2,282","1,733","1,086","556","1,192","2,212","2,312","2,655"
"Commercial","1,206","712","537","203","495","1,368","1,574","1,590"
"Air/Bus/Train Terminal","11","3","5","","2","13","11","10"
"Bank/Savings and Loan","28","16","13","2","22","135","105","99"
"Bar/Nightclub","24","37","137","7","5","15","15","22"
"Commercial/Office Building","150","84","40","20","138","277","299","237"
"Convenience Store","98","78","96","66","51","108","84","130"
"Department/Discount Store","343","154","18","9","49","241","377","449"
"Drug Store/Doctor’s Office/Hospital","102","85","46","15","49","106","96","119"
"Grocery/Supermarket","115","24","15","9","17","93","159","150"
"Hotel/Motel/Etc.","38","37","30","14","30","26","45","42"
"Liquor Store","47","24","7","6","3","16","18","24"
"Rental Storage Facility","6","1","","","3","16","9","6"
"Restaurant","99","94","78","18","41","96","87","92"
"Service/Gas Station","59","45","35","22","40","57","71","46"
"Specialty Store","75","25","16","12","34","123","174","149"
"ATM Separate from Bank","2","3","1","1","1","25","5","5"
"Auto Dealership New/Used","4","2","","2","8","20","15","4"
"Gambling Facility/Casino/Race Track","","","","","","","1",""
"Shopping Mall","5","","","","2","1","3","6"
"Educational Facility","82","37","23","4","105","242","247","102"
"School/College(Historical Only)","3","2","5","","16","34","27","3"
"Daycare Facility","","","","","","3","","3"
"School – College/University","33","14","9","3","15","42","49","30"
"School – Elementary/Secondary","46","21","9","1","74","163","171","66"
"Government/Public Building and other","156","67","36","23","94","249","269","234"
"Church/Synagogue/Temple/Mosque","14","4","5","3","7","22","25","13"
"Government/Public Building","103","44","20","13","61","178","196","160"
"Jail/Prison/Penitentiary/Corrections Facility","5","1","2","4","","2","2","7"
"Amusement Park","1","","","","","","1","3"
"Arena/Stadium/Fairgrounds/Coliseum","5","6","","","","1","3","3"
"Military Installation","","","","","","","",""
"Park/Playground","21","8","8","","9","23","21","31"
"Shelter – Mission/Homeless","4","3","1","3","12","19","14","12"
"Tribal Lands","","","","","","","",""
"Community Center","3","1","","","5","4","7","5"
"Road/Parking/Camps","819","630","521","217","439","759","738","841"
"Highway/Road/Alley/Street/Sidewalk","622","507","455","182","295","517","502","608"
"Parking/Drop Lot/Garage","162","108","58","31","134","206","198","182"
"Rest Area","1","","1","","","","",""
"Field/Woods/Waterways/Camps","34","15","7","4","10","36","38","51"
"Field/Woods","32","12","7","4","10","31","27","45"
"Lake/Waterway/Beach","2","2","","","","3","6","3"
"Camp/Campground","","","","","","2","","3"
"Dock/Wharf/Freight/Modal Terminal","","1","","","","","5",""
"Construction/Industrial/Farm","7","","3","1","41","33","19","16"
"Construction Site","2","","3","","35","20","14","8"
"Farm Facility","1","","","","1","3","1","5"
"Industrial Site","4","","","1","5","10","4","3"
"Cyberspace","11","2","2","","6","19","21","22"
"Abandoned/Condemned Structure","1","","","","1","10","2","5"
"Other/Unknown","295","147","63","49","192","495","474","469"
"Missing","","","","","","","",""
