"Number of Crimes by Hour of Day by Location"
"Current date: 8/28/2022 10:34:30 PM (Eastern Daylight Time)"
"Measures: Number of Crimes"
"Data source: Massachusetts_SS, Offense Data"
"Jurisdiction by Geography: Worcester County"
"Incident Date: 2018"
"Incident Hour of Day","6:00pm-8:59pm","9:00pm-11:59pm","12:00am-2:59am","3:00am-5:59am","6:00am-8:59am","9:00am-11:59am","12:00n-2:59pm","3:00pm-5:59pm",
"Location Type"
"All Location Types","4,604","3,091","2,061","963","2,271","4,948","5,438","5,328"
"Residence/Home","2,086","1,604","950","516","1,100","2,123","2,277","2,308"
"Commercial","1,271","690","472","190","454","1,240","1,587","1,569"
"Air/Bus/Train Terminal","14","7","6","3","6","7","11","22"
"Bank/Savings and Loan","53","14","2","4","28","143","155","123"
"Bar/Nightclub","34","50","113","6","6","18","14","22"
"Commercial/Office Building","143","91","45","16","122","274","282","263"
"Convenience Store","104","68","78","41","54","114","116","97"
"Department/Discount Store","399","120","23","8","57","169","371","418"
"Drug Store/Doctor’s Office/Hospital","89","79","34","27","39","99","104","122"
"Grocery/Supermarket","103","23","5","7","13","98","168","148"
"Hotel/Motel/Etc.","52","46","32","20","19","49","54","31"
"Liquor Store","30","22","5","1","4","18","28","25"
"Rental Storage Facility","5","2","","","3","6","10","7"
"Restaurant","124","85","69","23","23","80","88","102"
"Service/Gas Station","50","50","40","20","31","63","58","64"
"Specialty Store","61","23","19","11","28","80","104","107"
"ATM Separate from Bank","2","1","1","","6","3","5","4"
"Auto Dealership New/Used","5","4","","3","14","16","15","9"
"Gambling Facility/Casino/Race Track","","","","","","","",""
"Shopping Mall","3","5","","","1","3","4","5"
"Educational Facility","44","18","13","6","98","200","220","102"
"School/College(Historical Only)","","","1","","9","20","17","5"
"Daycare Facility","2","","","","2","2","1","4"
"School – College/University","11","8","5","1","13","27","42","31"
"School – Elementary/Secondary","31","10","7","5","74","151","160","62"
"Government/Public Building and other","155","75","32","25","82","256","253","242"
"Church/Synagogue/Temple/Mosque","9","4","5","2","15","15","19","9"
"Government/Public Building","100","49","19","15","40","197","196","181"
"Jail/Prison/Penitentiary/Corrections Facility","4","2","1","","1","4","3","1"
"Amusement Park","2","","","","","","",""
"Arena/Stadium/Fairgrounds/Coliseum","4","4","","","1","2","1","1"
"Military Installation","","","","","","","",""
"Park/Playground","20","15","7","5","10","14","15","36"
"Shelter – Mission/Homeless","8","","","2","13","13","8","11"
"Tribal Lands","","","","","","","",""
"Community Center","8","1","","1","2","11","11","3"
"Road/Parking/Camps","808","549","501","181","392","712","653","738"
"Highway/Road/Alley/Street/Sidewalk","640","445","430","157","269","521","465","574"
"Parking/Drop Lot/Garage","133","88","56","20","110","160","147","143"
"Rest Area","","1","","","","1","1",""
"Field/Woods/Waterways/Camps","35","15","15","4","13","30","40","21"
"Field/Woods","31","12","15","3","10","24","38","16"
"Lake/Waterway/Beach","3","1","","","3","4","2","2"
"Camp/Campground","","1","","","","","","3"
"Dock/Wharf/Freight/Modal Terminal","1","1","","1","","2","",""
"Construction/Industrial/Farm","3","5","2","1","27","19","16","11"
"Construction Site","1","4","2","","22","13","8","6"
"Farm Facility","1","1","","","2","4","3","2"
"Industrial Site","1","","","1","3","2","5","3"
"Cyberspace","18","7","3","1","4","26","29","25"
"Abandoned/Condemned Structure","2","1","","1","6","9","3","3"
"Other/Unknown","217","142","88","42","108","363","400","330"
"Missing","","","","","","","",""
