"Number of Crimes by Hour of Day by Location"
"Current date: 8/28/2022 10:23:24 PM (Eastern Daylight Time)"
"Measures: Number of Crimes"
"Data source: Massachusetts_SS, Offense Data"
"Jurisdiction by Geography: Worcester County"
"Incident Date: 2021"
"Incident Hour of Day","6:00pm-8:59pm","9:00pm-11:59pm","12:00am-2:59am","3:00am-5:59am","6:00am-8:59am","9:00am-11:59am","12:00n-2:59pm","3:00pm-5:59pm",
"Location Type"
"All Location Types","3,593","2,493","1,660","861","2,403","5,098","5,317","4,795"
"Residence/Home","1,559","1,222","700","369","994","1,978","2,101","2,014"
"Commercial","796","460","316","202","464","1,084","1,176","1,057"
"Air/Bus/Train Terminal","13","3","4","6","7","24","16","13"
"Bank/Savings and Loan","20","6","4","4","16","87","92","64"
"Bar/Nightclub","15","52","59","3","","14","20","16"
"Commercial/Office Building","81","28","25","22","128","215","207","161"
"Convenience Store","64","49","47","31","49","112","67","69"
"Department/Discount Store","186","53","10","2","41","122","215","234"
"Drug Store/Doctor’s Office/Hospital","69","54","42","29","29","89","91","67"
"Grocery/Supermarket","64","9","2","2","10","48","112","100"
"Hotel/Motel/Etc.","56","62","44","31","48","61","64","54"
"Liquor Store","24","11","2","2","3","17","26","25"
"Rental Storage Facility","5","3","1","","3","30","18","11"
"Restaurant","97","54","40","29","44","73","80","69"
"Service/Gas Station","41","38","22","29","42","65","54","43"
"Specialty Store","50","33","14","9","33","90","95","109"
"ATM Separate from Bank","1","1","","2","4","9","3","6"
"Auto Dealership New/Used","7","1","","","7","27","14","15"
"Gambling Facility/Casino/Race Track","","","","","","","",""
"Shopping Mall","3","3","","1","","1","2","1"
"Educational Facility","38","35","28","2","54","176","152","76"
"School/College(Historical Only)","5","","1","","2","9","9","3"
"Daycare Facility","","1","1","","1","1","1","3"
"School – College/University","11","21","19","1","11","22","34","19"
"School – Elementary/Secondary","22","13","7","1","40","144","108","51"
"Government/Public Building and other","131","68","27","18","60","212","218","197"
"Church/Synagogue/Temple/Mosque","13","3","3","1","6","15","9","10"
"Government/Public Building","64","50","14","12","37","166","172","150"
"Jail/Prison/Penitentiary/Corrections Facility","1","2","3","1","","1","3","4"
"Amusement Park","","","","","","","",""
"Arena/Stadium/Fairgrounds/Coliseum","2","3","2","","1","2","1",""
"Military Installation","","","","","","","",""
"Park/Playground","42","4","3","1","8","18","25","25"
"Shelter – Mission/Homeless","6","3","2","3","8","8","3","7"
"Tribal Lands","","","","","","","",""
"Community Center","3","3","","","","2","5","1"
"Road/Parking/Camps","698","526","492","210","521","846","880","831"
"Highway/Road/Alley/Street/Sidewalk","511","418","413","167","337","575","632","615"
"Parking/Drop Lot/Garage","149","91","67","40","164","239","220","176"
"Rest Area","","","3","","1","","","2"
"Field/Woods/Waterways/Camps","38","17","9","3","19","32","28","38"
"Field/Woods","31","15","9","2","17","29","25","31"
"Lake/Waterway/Beach","4","","","1","1","1","2","4"
"Camp/Campground","3","","","","1","","1","1"
"Dock/Wharf/Freight/Modal Terminal","","2","","","","2","","2"
"Construction/Industrial/Farm","11","7","","5","32","29","19","15"
"Construction Site","10","2","","","21","17","6","7"
"Farm Facility","","3","","4","1","6","3","2"
"Industrial Site","1","2","","1","10","6","10","6"
"Cyberspace","43","18","7","5","28","124","132","82"
"Abandoned/Condemned Structure","2","","","","","7","4","7"
"Other/Unknown","315","157","90","50","250","642","635","516"
"Missing","","","","","","","",""
