edition,edition_id,season,year,city,country_noc,start_date,end_date,isHeld,competition_start_date,competition_end_date
1896 Summer Olympics,1,Summer,1896,Athina,GRE,1896-04-06,1896-04-15,na,1896-04-06,1896-04-13
1900 Summer Olympics,2,Summer,1900,Paris,FRA,na,na,na,14-05-1900,28-10-1900
1904 Summer Olympics,3,Summer,1904,St. Louis,USA,14-05-1904,na,na,01-07-1904,23-11-1904
1908 Summer Olympics,5,Summer,1908,London,GBR,13-07-1908,na,na,27-04-1908,31-10-1908
1912 Summer Olympics,6,Summer,1912,Stockholm,SWE,06-07-1912,27-07-1912,na,05-05-1912,27-07-1912
1916 Summer Olympics,50,Summer,1916,Berlin,GER,na,na,Not held due to war,na,na
1920 Summer Olympics,7,Summer,1920,Antwerpen,BEL,14-08-1920,30-08-1920,na,23-04-1920,12-09-1920
1924 Summer Olympics,8,Summer,1924,Paris,FRA,05-07-1924,27-07-1924,na,04-05-1924,27-07-1924
1928 Summer Olympics,9,Summer,1928,Amsterdam,NED,28-07-1928,12-08-1928,na,17-05-1928,12-08-1928
1932 Summer Olympics,10,Summer,1932,Los Angeles,USA,30-07-1932,14-08-1932,na,30-07-1932,14-08-1932
1936 Summer Olympics,11,Summer,1936,Berlin,GER,01-08-1936,16-08-1936,na,02-08-1936,16-08-1936
1940 Summer Olympics,51,Summer,1940,Helsinki,FIN,na,na,Not held due to war,na,na
1944 Summer Olympics,52,Summer,1944,London,GBR,na,na,Not held due to war,na,na
1948 Summer Olympics,12,Summer,1948,London,GBR,29-07-1948,14-08-1948,na,26-07-1948,14-08-1948
1952 Summer Olympics,13,Summer,1952,Helsinki,FIN,19-07-1952,03-08-1952,na,14-07-1952,03-08-1952
1956 Summer Olympics,14,Summer,1956,Melbourne,AUS,22-11-1956,08-12-1956,na,22-11-1956,08-12-1956
1960 Summer Olympics,15,Summer,1960,Roma,ITA,25-08-1960,11-09-1960,na,25-08-1960,11-09-1960
1964 Summer Olympics,16,Summer,1964,Tokyo,JPN,10-10-1964,24-10-1964,na,11-10-1964,24-10-1964
1968 Summer Olympics,17,Summer,1968,Ciudad de México,MEX,12-10-1968,27-10-1968,na,12-10-1968,27-10-1968
1972 Summer Olympics,18,Summer,1972,München,FRG,26-08-1972,11-09-1972,na,26-08-1972,11-09-1972
1976 Summer Olympics,19,Summer,1976,Montréal,CAN,17-07-1976,01-08-1976,na,18-07-1976,01-08-1976
