SI.No.,States/UT,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction Total,Kidnapping & Abduction of Women and girls,Kidnapping & Abduction of Others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Deaths,Molestation,Sexual Harassment,Cruelty by Husband and Relatives,Others IPC Crimes,Total COG. Crimes Under IPC
1,Andhra Pradesh,85.82,90.25,93.18,95.12,87.18,85.23,90.21,80.48,88.24,70.95,63.16,70.23,92.21,70.57,74.92,29,79.06,97.2,95.56,97.5,99.04,96.88,89.32,86.62
2,Arunachal Pradesh,79.25,83.33,80,82.61,72.97,76.92,63.64,42.86,100,72.55,40.21,60.12,88.24,51.85,57.14,100,50,64.79,NA,87.5,NA,90,66.94,63.97
3,Assam,64.19,62.06,66.67,76.52,57.33,57.29,57.49,36.96,73.68,39.8,26.03,40.23,69.92,43.56,63.02,65.71,37.1,67.84,90.48,73.72,100,78.86,64.91,55.22
4,Bihar,78.6,87.76,75.71,88.42,82.16,82.17,82.15,53.6,94.71,55.96,33.24,46.03,84.76,74.16,74.89,70.59,73.36,92.55,91.36,91.68,84,89.38,81.27,73.6
5,Goa,66,93.75,100,76.19,55,77.78,36.36,80,NA,48.75,15.66,19.45,82.84,56.1,70.97,42.86,25.71,82.57,100,85,83.33,71.43,82.08,50.27
6,Gujarat,82.5,93.66,96,96.21,80.53,80.53,80.56,55.94,100,61.8,35.83,32.8,91.65,81.24,78,20.24,71.31,96.71,89.74,97.63,84.57,99.01,90.93,79.07
7,Haryana,84.96,91.37,85.71,98.19,81.96,85.51,74.51,78.57,100,73.11,41.43,43.46,96.55,79.87,86.09,30,67.6,95.7,98.62,94.02,96.88,93.05,87.82,77.36
8,Himachal Pradesh,76.92,91.94,85.71,100,72.58,79.17,50,60,NA,91.67,30.64,34.85,98.69,82.61,80.22,0,52.63,97.8,100,99.61,100,100,93.99,85.04
9,Jammu & Kashmir,24.75,55.07,76,93.6,81.49,84,18.75,57.58,NA,50.44,51.7,44.6,90.41,72.73,75.85,75,10.4,97.01,100,97.22,98.77,100,85.67,71.5
10,Karnataka,88.66,89.13,96.49,93.81,76.19,78.54,73.63,68.75,100,59.08,30.59,32.07,91.96,69.23,55.35,57.14,73.6,94.82,98.82,95.02,97.6,95.74,89.91,76.35
11,Kerala,90.29,95.73,91.94,97.72,90.18,88.79,93.62,79.28,100,62.11,35.17,51.7,95.34,83.33,86.62,27.45,51.45,98.53,100,99.45,93.48,98.61,95.66,90.63
12,Madhya Pradesh,87.64,95.25,96.52,97.6,87.06,87.24,86.06,70.62,100,62.97,30.12,33.87,92.72,83.74,82.29,21.43,77.57,98.13,97.75,98.87,99.05,97.77,92.66,80.21
13,Maharashtra,85.05,93.47,93.75,98.05,82.92,84.66,79.38,63.12,88.81,56.51,32.49,32.18,96.13,76.76,70.24,40.52,69.7,96.61,98.35,98.39,99.45,99.57,86.72,69.81
14,Manipur,4.89,4.58,11.11,33.33,1.09,2.08,0,0,NA,0,5.71,4.31,3.23,0,10.26,83.33,0,1.92,NA,16.67,NA,NA,1.63,3.38
15,Meghalaya,59.09,58.33,100,77.42,38.46,33.33,50,47.44,100,44.21,27.95,49.13,69.23,41.18,58.82,100,30.77,73.79,NA,91.67,NA,NA,61.74,53.6
16,Mizoram,87.5,88.89,100,87.72,50,100,40,85.71,NA,75,73.1,88.2,NA,78.79,92.13,100,58.06,83.33,NA,88.24,NA,NA,92.66,85.71
17,Nagaland,32.29,63.16,50,92.31,52.5,50,53.57,51.72,NA,42.47,47.53,51.06,18.18,86.67,85.71,100,66.67,52.17,NA,100,NA,100,62.09,52.98
