"","doc_id","Topic"
"1","1","Chicago bro here. my heating does not work"
"2","2","German Market"
"3","3","Italian schools this year"
"4","4","US Life expectancy at birth is now 76.4 years. its lowest in 25 years"
"5","5","Thanks to wide open Great Lakes"
"6","6","Proof Bidns open border is a huge success."
"7","7","Will furries be the next lgbt?"
"8","8","Can we expect calls for initial interviews or emails for fly-outs today"
"9","9","Snow shovelling gt Peleton"
"10","10","George Hotz (genius coder) volunteers to work for Twitter just for the cost of"
"11","11","Where are all the"
"12","12","Report on Ryan Enoss data fabrication available for download"
"13","13","Stars of the 221 job market"
"14","14","How is Temple Econ?"
"15","15","Is there an on-line advertising duopoly? | MR"
"16","16","Mozart ruined music for over a century"
"17","17","Fed versus academia"
"18","18","The math aptitude of Physicists is severely overrated."
"19","19","Thoughts on auto.arima on R?"
"20","20","World Bank Group YPP 22"
"21","21","Calls out JPAL’s inclusive hiring policy"
"22","22","Shabbat Shalom EJMR"
"23","23","Upfront salaries have to be higher in the USA"
"24","24","Best researchers in information design?"
"25","25","Any schools left to send flyouts?"
"26","26","Agostinellis JMP. appendix D"
"27","27","Girlfriend drags me to holiday party last weekend"
"28","28","72 FICO 8 score. Is that good?"
"29","29","I have a French girlfriend. Will she cheat on me?"
"30","30","Charles M Jones"
"31","31","Yo K/arl. friend told me you were looking for this"
"32","32","MM wharton"
"33","33","Pourquoi les filles partout dans le monde aiment la bite noire?"
"34","34","WSJ makes Ukrainian desperation clear. Theyre going to present a peace"
"35","35","Nuclear families are innately unstable for society"
"36","36","Is 5k a year enough for a decent lifestyle in NYC"
"37","37","Is the art of the deal actually a good book?"
"38","38","Stata help: repeated time values in sample"
"39","39","How many lines does Boulder have?"
"40","40","What is going on with Campbell Harvey?"
"41","41","Inflation is leading to more woke housing restrictions in blue states"
"42","42","Yields surging again. Month high."
"43","43","6 weeks at ecta"
"44","44","LUISS called?"
"45","45","Kroszner appointed to UK Financial Policy Committee"
"46","46","Old woman poisons younger boyfriend"
"47","47","Indian desi student makes embarrassing squeak when I put in extra long BBC?"
"48","48","Must Read | Entiled royal mentality of US senetors"
"49","49","DEI grifters in finance"
"50","50","Biasi and Arelano-Bover on the Market"
"51","51","Send it as a Christmas present to everyone you know c-:"
"52","52","The war that is raging across the globe is not..."
"53","53","Celebrities versus beauty"
"54","54","RCFS Winter 222"
"55","55","22 Finance JM Stars after interviews (my take)"
"56","56","WSJ on Z: quotUkraine will never surrender also heres a peace plan for Febquot"
"57","57","Realty Check: ChatGPT wont kill the college essay"
"58","58","True or false: Liberals hate Elon Musk more than Sam Bankman-Fried"
"59","59","Serious question. does sleeping with advisor help in the job market?"
"60","60","What are the telework options at the regional feds?"
"61","61","Collegio Carlo Alberto"
"62","62","I hope Fed Funds goes to 7% as James Bullard predicts"
"63","63","8 year old male with porcelain skin"
"64","64","This here music is ovuh"
"65","65","New RCT: migrant workers give dried mango and a family photo to their employers"
"66","66","Lonely chrismas for zhang"
"67","67","Lol. just lol, at gun havers"
"68","68","Is it essential to leave the faucet dripping?"
"69","69","Another Forthcoming in JFE"
"70","70","Where are comps harder? USC or Chicago?"
"71","71","PSU Econ zhangnett"
"72","72","Who was the hottest woman of the s?"
"73","73","Is UC Berkeley is good as UC Boulder for Econ PhD?"
"74","74","Should I be upfront about failing comps in cover letters?"
"75","75","Christmas Eve Eve: Is there a more magical time?"
"76","76","Your female colleague just got her a/s/s pounded by two nigerian men yesterday"
"77","77","UB at HKUST"
"78","78","Next SAET is in Paris. so is it still safe to go?"
"79","79","Dem leaders are midwits"
"80","80","Hawaian student looks too cute when her lips around my swollen aching BBC?"
"81","81","When is it time to buy stocks?"
"82","82","Moscows museums. theaters and concert halls are second to none"
"83","83","Leftists: yt ppl are heartless colonizers who enslaved an entire continent"
"84","84","McKinsey on the Unbearable Whiteness of Running"
"85","85","EJMR data being used in chat gpt here is evidence"
"86","86","Should I accept an offer from a teaching school or wait another year?"
"87","87","Advice for failing AP"
"88","88","Charles Murray (the man who wrote The Bell Curve) published an AER paper in 22"
"89","89","Under school shootings Everytown includes two 11 year olds who had a BB gun"
"90","90","Using pre-estimated fixed effects?"
"91","91","Do Zhang and Pajeet celebrate Christmas ?"
"92","92","Not going back to China"
"93","93","Deadwood Chronicles —"
"94","94","Cathy Wood graduated summa cum laude in economics"
"95","95","Bros would do well to learn grep/sed/awk instead of Python"
"96","96","Underrated women from 1s"
"97","97","Vaxoids deserve their vax injuries"
"98","98","Splitting strategies for post-selection inference"
"99","99","Thesis: Tesla is plunging because of Elons involvement in Twitter."
"100","100","Official Marketing JM 22 Thread"
"101","101","quotOP buggered pigs. to begin with. There is no doubt whatever about that.quot"
"102","102","Why my advisor still have my name on his CV"
"103","103","Why is Canadian AIDS rate higher than Sub-Saharan Africa?"
"104","104","What does doing your own PhD feel like?"
"105","105","Is there any reason to learn grep. awk, sed, vim and other linux/unix tools"
"106","106","Harvard job market candidates 22-221"
"107","107","Endless supply of tanks arrives to White Russia"
"108","108","NEW: Semrush Backlinks"
"109","109","People on this forum have really bad taste in women"
"110","110","How to cancel an acceptance?"
"111","111","Is USC HRM (same tier as Northwestern) or VHRM (same tier as MIT)?"
"112","112","What Ive noticed about industry is that they only care about undergrad pedigree"
"113","113","Shrewife buys\eats only prepared foods"
